Time;ID;x;y;z;radius;volume_total;radius_nuclear;contact_ECM;freezer;polarized_fraction;motility;cell_line;Cell_cell;phase;Cycle;NFkB
360;0;-52.5301;-0.913231;-86.1112;9.77909;3917.28;5.9687;0;0;0.1;0.01;0;4.42492;0;0;-1-1;-1
360;1;-34.8031;-21.515;-90.7188;8.21903;2325.68;4.97108;0;0;0.1;0.01;0;3.87245;0;0;-1-1;-1
360;2;-39.4849;-7.63014;-96.793;9.83977;3990.65;6.00428;0;0;0.1;0.01;0;3.02869;0;0;-1-1;-1
360;3;-36.6249;4.59174;-85.1992;10.0982;4313.45;6.15048;0;0;0.1;0.01;0;6.57318;0;0;-1-1;-1
360;4;-26.8852;21.0565;-97.4057;8.47893;2553.35;5.16853;0;0;0.1;0.01;0;2.09896;0;0;-1-1;-1
360;5;-22.1342;-43.1821;-84.8736;10.1761;4413.97;6.18273;0;0;0.1;0.01;0;5.80159;0;0;-1-1;-1
360;6;-21.02;-25.9965;-85.0077;10.0372;4235.7;6.13068;0;0;0.1;0.01;0;6.58451;0;0;-1-1;-1
360;7;-24.0124;-8.95397;-86.0799;10.0193;4213.06;6.11386;0;0;0.1;0.01;0;6.73895;0;0;-1-1;-1
360;8;-20.9241;8.76448;-88.7074;10.0789;4288.66;6.13778;0;0;0.1;0.01;0;5.44269;0;0;-1-1;-1
360;9;-20.0004;24.9992;-83.1956;10.1398;4366.99;6.1682;0;0;0.1;0.01;0;5.94088;0;0;-1-1;-1
360;10;-5.27504;-45.6552;-85.2858;9.65815;3773.73;5.93014;0;0;0.1;0.01;0;5.49045;0;0;-1-1;-1
360;11;-9.77238;-33.1514;-96.1913;10.1818;4421.42;6.18507;0;0;0.1;0.01;0;3.61435;0;0;-1-1;-1
360;12;-7.88108;-15.5029;-90.4501;10.0815;4291.98;6.14506;0;0;0.1;0.01;0;4.33627;0;0;-1-1;-1
360;13;-17.5114;-0.580874;-84.6334;2.14473;41.3241;2.08856;0;0;5.56334e-17;0.01;0;5.46871;100;0;-1-1;-1
360;14;-6.58734;15.1392;-83.3492;9.25087;3316.17;5.68493;0;0;0.1;0.01;0;5.90625;0;0;-1-1;-1
360;15;-0.271739;36.5129;-97.5686;8.18216;2294.52;4.94922;0;0;0.1;0.01;0;3.46199;1;254;-1-1;-1
360;16;5.61312;-34.69;-89.6112;8.76052;2816.3;5.37065;0;0;0.1;0.01;0;5.5136;0;0;-1-1;-1
360;17;15.1083;-24.0988;-96.0198;8.76474;2820.36;5.36631;0;0;0.1;0.01;0;4.21498;0;0;-1-1;-1
360;18;11.4533;-8.27325;-90.1674;10.0432;4243.36;6.119;0;0;0.1;0.01;0;4.31703;0;0;-1-1;-1
360;19;9.39944;12.1398;-84.9083;10.0022;4191.6;6.1183;0;0;0.1;0.01;0;6.16593;0;0;-1-1;-1
360;20;11.3703;30.4088;-87.034;10.0691;4276.17;6.14086;0;0;0.1;0.01;0;6.97869;0;0;-1-1;-1
360;21;13.7847;33.2623;-103.354;9.65557;3770.7;5.90982;0;0;0.1;0.01;0;3.03241;0;0;-1-1;-1
360;22;27.1173;-52.5127;-82.5969;10.972;5532.81;6.64606;0;0;1.62786e-06;0.01;0;4.5823;101;0;-1-1;-1
360;23;29.6591;-30.2931;-94.4354;8.65988;2720.34;5.306;0;0;0.1;0.01;0;3.96011;0;0;-1-1;-1
360;24;27.1896;-15.5229;-87.6532;9.95269;4129.62;6.08;0;0;0.1;0.01;0;6.18239;0;0;-1-1;-1
