simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	1137	1137	0	0.0811402	18999	274.461
40	1223	86	0	103.071	3.72958e-06	4.15345
80	1244	21	0	91.4618	7.10763e-16	0.0170103
120	1267	23	0	91.8943	1.28293e-25	6.96638e-05
160	1295	28	0	91.4745	2.14908e-35	2.85297e-07
200	1336	41	0	92.1666	3.30988e-45	1.16836e-09
240	1380	44	0	102.072	4.69127e-55	32.4888
280	1432	52	0	92.7524	6.19256e-65	0.139832
320	1486	54	0	92.9688	7.74488e-75	0.00817202
360	1538	52	0	93.3643	9.27912e-85	0.00183327
400	1622	87	3	94.075	1.01411e-94	0.000102129
440	1707	90	5	103.933	1.0033e-104	256.791
480	1831	127	3	95.7355	8.91359e-115	1.05651
520	1971	142	2	96.2251	7.29603e-125	0.0207565
560	2061	95	5	97.0115	5.93026e-135	0.00685534
600	2126	67	2	97.8988	4.51941e-145	0.00159655
640	2225	108	9	97.9251	3.0389e-155	7.22575e-05
680	2296	94	23	109.141	1.74231e-165	8.26481
720	2328	41	9	99.9112	8.69548e-176	0.0418833
760	2351	33	10	99.6013	4.0129e-186	0.00538895
800	2395	47	3	99.8174	1.66313e-196	0.00109222
840	2465	77	7	99.6245	5.98381e-207	0.000146324
880	2506	74	33	110.446	1.86773e-217	64.9553
920	2548	70	28	102.316	5.09569e-228	0.275222
960	2616	85	17	101.466	1.30156e-238	0.0115866
1000	2683	79	12	101.855	3.22485e-249	0.00365338
1040	2825	150	8	102.875	7.14964e-260	0.000601045
1080	2989	174	10	111.154	1.35748e-270	438.115
1120	3140	167	16	105.938	2.1491e-281	2.09667
1160	3326	193	7	105.647	3.15524e-292	0.036223
1200	3449	136	13	106.769	0	0.0118156
1240	3560	118	7	105.729	0	0.00218688
1280	3735	179	4	105.591	0	0.000707431
1320	3864	154	25	116.945	0	16.4288
1360	3898	56	22	109.111	0	0.0779783
1400	3928	41	11	107.996	0	0.00691932
1440	3970	58	16	108.395	0	0.00085652
1440.02	3978	9	1	0.596922	0	0.000855431
